SUBJECT,TYPE,POSTDATE,PLATFORM,CODE,POST,Followers,Followers_log10,LIKES,Likes_pkU,Likes_pkU_z,COMMENTS,Comments_pkU,Comments_pkU_z,SHARES,Shares_pkU,Shares_pkU_z,CLICK_THROUGHS,CTs_pkU,CTs_pkU_z,AVG_VISIT_DURATION,AVG_VISIT_DURATION_z,RETENTION_RATE,RETENTION_RATE_z
Pipes,GWII,1-Dec-2014,Facebook,tG07Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/737792832974731/?type=1,364826,5.56,,,,,,,,,,10.0,.03,-.44,.0,-.33,.0,-0.72
ATLAS clean,GWII,8-Dec-2014,Facebook,tG08F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/741291095958238/?type=1,367397,5.57,345.0,.94,-.15,13.0,.04,-.24,31.0,.08,-.32,139.0,.38,.24,12.0,-.06,2.0,-0.41
Collisioneur,News,17-Oct-2014,Facebook,tN01F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/715836981836983/?type=1,343243,5.54,188.0,.55,-.36,8.0,.02,-.31,29.0,.08,-.32,86.0,.25,-.01,2.0,-.29,2.0,-0.41
UN event,News,20-Oct-2014,Facebook,tN02F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/717677924986222/?type=1,343998,5.54,653.0,1.90,.37,56.0,.16,.49,137.0,.40,.66,59.0,.17,-.16,30.0,.35,3.0,-0.26
CERN60 vid,News,21-Oct-2014,Facebook,tN03F,https://www.facebook.com/cern/posts/718245458262802,344282,5.54,242.0,.70,-.27,21.0,.06,-.10,75.0,.22,.10,163.0,.47,.42,16.0,.03,6.0,0.20
IceCube VV,News,23-Oct-2014,Facebook,tN04F,https://www.facebook.com/cern/posts/719011081519573,344829,5.54,449.0,1.30,.05,10.0,.03,-.28,6.0,.02,-.53,84.0,.24,-.02,1.0,-.31,1.0,-0.56
Nov Courier,News,28-Oct-2014,Facebook,tN05Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/721298464624168/?type=1,347931,5.54,245.0,.70,-.27,3.0,.01,-.40,23.0,.07,-.38,30.0,.09,-.33,1.0,-.31,3.0,-0.26
Nov Courier,News,28-Oct-2014,Facebook,tN05Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/721298464624168/?type=1,347931,5.54,,,,,,,,,,33.0,.09,-.31,.0,-.33,.0,-0.72
TEDx videos,News,29-Oct-2014,Facebook,tN06F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/721785941242087/?type=1,348311,5.54,181.0,.52,-.37,7.0,.02,-.33,22.0,.06,-.39,58.0,.17,-.17,.0,-.33,.0,-0.72
LHChamber,News,30-Oct-2014,Facebook,tN07F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/722284267858921/?type=1,348585,5.54,467.0,1.34,.07,51.0,.15,.39,128.0,.37,.56,393.0,1.13,1.69,24.0,.21,11.0,0.97
