"gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","median_income","oldest","major_presige","interruptions_per_min","sequence_starts_per_wordX100","proportion_sequence_starts","proportion_words"
1,-0.05,0.8,0.29,-0.14,-0.26,-0.07,-0.3,"short",44.4,"no",38,1.55,3.42,0.235,0.12
1,-0.97,-0.17,-0.82,2.07,-0.37,0.18,-0.3,"short",48.1,"yes",15,1.034,1.83,0.353,0.34
0,-0.71,-0.9,-0.92,0.34,-0.26,-0.24,-0.47,"short",40.1,"no",28,0.773,3.79,0.524,0.34
0,-0.58,0.32,-0.32,-1.35,0.29,-1.17,-0.07,"long",62.3,"no",8,0.515,1.42,0.19,0.33
0,-0.71,-0.9,-0.92,0.34,-0.26,-0.24,-0.47,"short",40.1,"no",28,0.773,3.79,0.524,0.34
0,-0.71,-1.39,-1.12,-0.14,0.29,1.39,1.54,"short",45.7,"yes",12,2.577,2.05,0.286,0.34
0,-0.58,0.32,-0.32,-1.35,0.29,-1.17,-0.07,"long",62.3,"no",8,0.515,1.42,0.19,0.33
0,-0.71,-1.39,-1.12,-0.14,0.29,1.39,1.54,"short",45.7,"yes",12,2.577,2.05,0.286,0.34
0,0.87,0.32,0.79,1.75,1.09,1.65,-0.88,"short",119.8,"yes",24,0.711,1.78,0.231,0.35
0,1,0.07,0.79,0.94,0.21,0.55,-1.28,"long",50.6,"no",15,0.948,4.08,0.615,0.4
0,0.87,0.32,0.79,1.75,1.09,1.65,-0.88,"short",119.8,"yes",24,0.711,1.78,0.231,0.35
0,-0.32,0.56,-0.01,0.94,1.17,1.29,0.33,"short",68.3,"no",15,2.133,1.67,0.154,0.25
0,1,0.07,0.79,0.94,0.21,0.55,-1.28,"long",50.6,"no",15,0.948,4.08,0.615,0.4
0,-0.32,0.56,-0.01,0.94,1.17,1.29,0.33,"short",68.3,"no",15,2.133,1.67,0.154,0.25
0,0.6,0.8,0.79,-0.99,0.08,0.51,0.33,"short",50.6,"no",8,0.494,1.76,0.259,0.44
0,-0.45,-0.41,-0.52,-0.21,0.21,-0.28,-1.28,"long",51.6,"yes",6.5,0.741,5,0.259,0.16
