"triad","indiv-1","indiv-2","dyad","dyad_split","individual_split","gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","shirt1","median_income","oldest","highest_class_rank","major_presige","dyad_status_difference","proportion_words","proportion_sequence_starts","interruptions_per_min","sequence_starts_per_wordX100","interruptions_per_wordX100","affect_words","triad_total_words_per_min"
14,13267876,92141600,41,1,2,0,-0.05,0.32,0.09,0.4,-0.05,-1.18,1.54,"short",2,93.9,"no",0,38,1.29,0.21,0.188,0.286,1.83,0.61,6.55,224.3
14,92141600,13267876,41,2,1,0,-1.23,0.56,-0.72,-0.41,0.13,0.32,1.95,"long",3,64.5,"yes",1,NA,-1.29,0.26,0.375,0.001,2.99,0.001,7.66,224.3
14,92113840,92141600,42,1,2,0,-0.11,-2.12,-0.89,0.26,0.4,1.31,-1.28,"short",2,64.6,"no",0,37.5,-0.29,0.54,0.438,0.857,1.67,0.71,4.31,224.3
14,92141600,92113840,42,2,2,0,-1.23,0.56,-0.72,-0.41,0.13,0.32,1.95,"long",3,64.5,"yes",1,NA,0.29,0.26,0.375,0.001,2.99,0.001,7.66,224.3
15,92180480,92181552,43,1,1,1,-0.35,0.32,-0.17,0.59,-1.09,-1.97,-1.03,"tanktop",1,87.1,NA,NA,15,0.86,0.38,0.273,0.242,1.05,0.35,3.18,181.8
15,92181552,92180480,43,2,1,1,-0.45,-0.17,-0.42,-0.46,0.88,0.21,0.07,"long",3,100.8,NA,NA,27.5,-0.86,0.4,0.455,0.242,1.67,0.33,4.59,181.8
15,92180480,92153712,44,1,2,1,-0.35,0.32,-0.17,0.59,-1.09,-1.97,-1.03,"tanktop",1,87.1,NA,NA,15,-0.29,0.38,0.273,0.242,1.05,0.35,3.18,181.8
15,92153712,92180480,44,2,1,1,-0.18,-0.41,-0.32,0.59,-0.33,0.01,-1.4,"long",3,55.5,NA,NA,15,0.29,0.22,0.273,0.242,1.81,0.6,5.36,181.8
15,92181552,92153712,45,1,2,1,-0.45,-0.17,-0.42,-0.46,0.88,0.21,0.07,"long",3,100.8,NA,NA,27.5,-0.86,0.4,0.455,0.242,1.67,0.33,4.59,181.8
15,92153712,92181552,45,2,2,1,-0.18,-0.41,-0.32,0.59,-0.33,0.01,-1.4,"long",3,55.5,NA,NA,15,0.86,0.22,0.273,0.242,1.81,0.6,5.36,181.8
16,13254299,92156000,46,1,1,1,1.79,3.24,2.71,0.17,1.33,1.65,1.9,"long",3,56.9,"no",0,NA,0.57,0.31,0.421,0.548,3.11,0.78,6.2,227.9
16,92156000,13254299,46,2,1,1,0.08,1.29,0.59,-0.14,0.27,-0.33,1.17,"tanktop",1,95.6,"yes",1,15,-0.57,0.22,0.158,0.548,1.65,1.1,2.33,227.9
16,13254299,92138096,47,1,2,1,1.79,3.24,2.71,0.17,1.33,1.65,1.9,"long",3,56.9,"no",0,NA,1.29,0.31,0.421,0.548,3.11,0.78,6.2,227.9
16,92138096,13254299,47,2,1,1,0.74,2.51,1.6,0.7,1.08,0.31,0.8,"short",2,120.1,"no",0,NA,-1.29,0.47,0.421,0.548,2.04,0.51,3.85,227.9
16,92156000,92138096,48,1,2,1,0.08,1.29,0.59,-0.14,0.27,-0.33,1.17,"tanktop",1,95.6,"yes",1,15,0.71,0.22,0.158,0.548,1.65,1.1,2.33,227.9
16,92138096,92156000,48,2,2,1,0.74,2.51,1.6,0.7,1.08,0.31,0.8,"short",2,120.1,"no",0,NA,-0.71,0.47,0.421,0.548,2.04,0.51,3.85,227.9
17,92147368,92163304,49,1,1,1,-0.45,1.05,0.09,0.59,-0.8,-0.8,1.53,"short",2,98.5,NA,NA,27.5,0.14,0.38,0.5,0.222,2.3,0.29,4.91,202.7
17,92163304,92147368,49,2,1,1,-1.5,-0.9,-1.53,2.32,-0.87,-0.82,-1.4,"long",3,63.5,NA,NA,NA,-0.14,0.2,0.125,0.001,1.1,0.001,4.97,202.7
17,92147368,92115344,50,1,2,1,-0.45,1.05,0.09,0.59,-0.8,-0.8,1.53,"short",2,98.5,NA,NA,27.5,0,0.38,0.5,0.222,2.3,0.29,4.91,202.7
17,92115344,92147368,50,2,1,1,-1.1,-0.9,-1.23,0.17,-0.06,-1.79,0.8,"long",3,54.2,NA,NA,15,0,0.42,0.375,0.001,1.57,0.001,2.34,202.7
17,92163304,92115344,51,1,2,1,-1.5,-0.9,-1.53,2.32,-0.87,-0.82,-1.4,"long",3,63.5,NA,NA,NA,-0.14,0.2,0.125,0.001,1.1,0.001,4.97,202.7
17,92115344,92163304,51,2,2,1,-1.1,-0.9,-1.23,0.17,-0.06,-1.79,0.8,"long",3,54.2,NA,NA,15,0.14,0.42,0.375,0.001,1.57,0.001,2.34,202.7
18,92196760,13222577,52,1,1,1,-0.71,-0.41,-0.72,0.91,0.62,0.53,-1.03,"long",3,86.5,"no",0,37.5,-1.14,0.31,0.391,1.106,3.8,1.69,4.1,210.2
18,13222577,92196760,52,2,1,1,-0.05,0.56,0.19,0.07,0.99,0.43,-1.4,"long",3,40.6,"yes",1,8,1.14,0.37,0.435,1.106,3.57,1.43,5,210.2
18,92196760,92163240,53,1,2,1,-0.71,-0.41,-0.72,0.91,0.62,0.53,-1.03,"long",3,86.5,"no",0,37.5,0,0.31,0.391,1.106,3.8,1.69,4.1,210.2
18,92163240,92196760,53,2,1,1,-0.18,-0.17,-0.22,0.7,-0.21,-0.74,-0.3,"short",2,102,"no",0,15,0,0.32,0.174,0.829,1.64,1.23,4.58,210.2
18,13222577,92163240,54,1,2,1,-0.05,0.56,0.19,0.07,0.99,0.43,-1.4,"long",3,40.6,"yes",1,8,1,0.37,0.435,1.106,3.57,1.43,5,210.2
18,92163240,13222577,54,2,2,1,-0.18,-0.17,-0.22,0.7,-0.21,-0.74,-0.3,"short",2,102,"no",0,15,-1,0.32,0.174,0.829,1.64,1.23,4.58,210.2
19,65171896,53374348,55,1,1,0,0.74,-0.66,0.29,0.4,-1.05,-1.68,0.33,"short",2,81,NA,NA,NA,0.14,0.13,0.167,0.001,1.46,0.001,5.8,190.7
19,53374348,65171896,55,2,1,0,0.77,-0.5,0.4,0.26,-2.09,-1.59,-0.88,"short",2,79.4,NA,NA,NA,-0.14,0.77,0.667,0.001,1.01,0.001,3.53,190.7
