triad	indiv-1	indiv-2	dyad	dyad_split	individual_split	triad_recruit_source	indiv-1_recruit_source	cubicle	camera	gender	median_income	indiv_ethnicity	dyad_ethnicity_broad	dyad_ethnicity_narrow	attractiveness	style_similarity	indiv-1_interrupts_indiv-2	indiv-2_interrupts_indiv-1	common_ground	indiv-1_pd_indiv-2	indiv-2_pd_indiv-1	gameplay_profit	indiv-1_predicts_indiv-2	indiv-2_predicts_indiv-1	f1_psychopathy	f2_psychopathy	total_psychopathy
22	92189960	92128952	65	1	2	1	1	3	0	1	76.6	1	1	1	2.28	-1.55	0.00	0.18	0	0	1	12	0	1	-1.10	-0.17	-0.92
22	92128952	92189960	65	2	1	1	1	1	0	1	46.5	1	1	1	-0.51	-1.55	0.18	0.00	0	1	0	0	1	0	-1.89	-1.63	-2.13
22	92121416	92128952	66	1	2	1	1	2	1	1	35.5	1	1	1	-0.35	-1.63	1.09	0.73	0	0	1	12	0	1	1.39	1.05	1.50
22	92128952	92121416	66	2	2	1	1	1	0	1	46.5	1	1	1	-0.51	-1.63	0.73	1.09	0	1	0	0	1	0	-1.89	-1.63	-2.13
23	92117584	92120176	67	1	1	1	1	2	1	1	66.4	1	0	0	1.54	-1.55	0.28	0.28	0	1	1	9	1	1	-0.84	-1.15	-1.12
23	92120176	92117584	67	2	1	1	1	1	0	1	46.2	2	0	0	-0.56	-1.55	0.28	0.28	0	1	1	6	1	1	-1.23	0.07	-0.92
23	92117584	92152096	68	1	2	1	1	2	1	1	66.4	1	0	0	1.54	-1.63	0.28	0.28	0	0	0	9	0	0	-0.84	-1.15	-1.12
23	92152096	92117584	68	2	1	1	1	3	0	1	69.8	2	0	0	-0.14	-1.63	0.28	0.28	0	0	0	12	0	0	-0.05	0.32	0.09
23	92120176	92152096	69	1	2	1	1	1	0	1	46.2	2	1	1	-0.56	1.47	1.13	0.56	0	1	0	6	1	0	-1.23	0.07	-0.92
23	92152096	92120176	69	2	2	1	1	3	0	1	69.8	2	1	1	-0.14	1.47	0.56	1.13	0	0	1	12	0	1	-0.05	0.32	0.09
24	92180424	92187328	70	1	1	1	1	1	0	1	62.4	8	0	0	-0.46	0.14	0.80	0.00	0	0		12	0	1	0.08	1.29	0.59
24	92187328	92180424	70	2	1	1	1	2	0	1	41.3	2	0	0	-1.61	0.14	0.00	0.80	0		0	6	1	0	-0.71	-0.90	-0.92
24	92180424	92160008	71	1	2	1	1	1	0	1	62.4	8	0	0	-0.46	-0.12	0.40	0.20	0	0	1	12	0	1	0.08	1.29	0.59
24	92160008	92180424	71	2	1	1	1	3	1	1	88.3	2	0	0	0.07	-0.12	0.20	0.40	0	1	0	0	1	0	-0.84	0.32	-0.52
24	92187328	92160008	72	1	2	1	1	2	0	1	41.3	2	1	1	-1.61	2.27	0.20	0.20	0		1	6	1	1	-0.71	-0.90	-0.92
24	92160008	92187328	72	2	2	1	1	3	1	1	88.3	2	1	1	0.07	2.27	0.20	0.20	0	1		0	1	1	-0.84	0.32	-0.52
25	71313768	71335744	73	1	1	0	0	2	1	0	39.4	4	1	1	0.40	-0.75	0.00	0.00	0	1	1	12	1	1	2.97	0.80	2.61
25	71335744	71313768	73	2	1	0	0	3	0	0	72.2	4	1	1	0.94	-0.75	0.00	0.00	0	1	1	12	1	1	-1.63	0.32	-1.12
25	71313768	71381984	74	1	2	0	0	2	1	0	39.4	4	0	0	0.40	-0.39	0.23	0.70	1	1	1	12	1	1	2.97	0.80	2.61
25	71381984	71313768	74	2	1	0	0	1	0	0	58.8	1	0	0	2.15	-0.39	0.70	0.23	1	1	1	12	1	1	-0.05	-1.88	-0.82
25	71335744	71381984	75	1	2	0	0	3	0	0	72.2	4	0	0	0.94	0.32	0.23	0.23	0	1	1	12	1	1	-1.63	0.32	-1.12
25	71381984	71335744	75	2	2	0	0	1	0	0	58.8	1	0	0	2.15	0.32	0.23	0.23	0	1	1	12	1	1	-0.05	-1.88	-0.82
26	92111952	13247593	76	1	1	1	1	2	0	1	91.3	2	1	1	-1.19	-0.30	0.19	0.76	1	1	0	0	1	0	-0.05	-1.15	-0.52
26	13247593	92111952	76	2	1	1	1	3	1	1	74.1	2	1	1	-1.08	-0.30	0.77	0.19	1	0	1	12	0	1	-1.10	0.07	-0.82
26	92111952	92115608	77	1	2	1	1	2	0	1	91.3	2	1	1	-1.19	-0.30	0.19	0.00	0	1	0	0	1	0	-0.05	-1.15	-0.52
26	92115608	92111952	77	2	1	1	1	1	0	1	59.2	2	1	1	-1.40	-0.30	0.00	0.19	0	0	1	12	0	1	-0.97	0.32	-0.62
26	13247593	92115608	78	1	2	1	1	3	1	1	74.1	2	1	1	-1.08	-0.66	0.57	0.57	1	0	0	12	0	1	-1.10	0.07	-0.82
26	92115608	13247593	78	2	2	1	1	1	0	1	59.2	2	1	1	-1.40	-0.66	0.57	0.57	1	0	0	12	1	0	-0.97	0.32	-0.62
27	92134032	92185696	79	1	1	1	1	1	0	1	50.6	1	0	0	-0.63	0.59	0.00	0.26	0	0		6	0	0	-0.71	0.07	-0.52
27	92185696	92134032	79	2	1	1	1	2	1	1	44.4	2	0	0	-0.14	0.59	0.26	0.00	0		0	0	0	0	-0.05	0.80	0.29
27	92134032	92168168	80	1	2	1	1	1	0	1	50.6	1	0	0	-0.63	0.32	1.55	1.03	1	0	0	6	0	0	-0.71	0.07	-0.52
27	92168168	92134032	80	2	1	1	1	3	0	1	48.1	5	0	0	2.07	0.32	1.03	1.55	1	0	0	6	0	0	-0.97	-0.17	-0.82
27	92185696	92168168	81	1	2	1	1	2	1	1	44.4	2	0	0	-0.14	1.39	1.29	0.00	0		0	0	1	0	-0.05	0.80	0.29
27	92168168	92185696	81	2	2	1	1	3	0	1	48.1	5	0	0	2.07	1.39	0.00	1.29	0	0		6	0	1	-0.97	-0.17	-0.82
